ID,GAME_ID,TEAM_ID,TEAM_NAME,GOALS,FIRST_HALF_GOALS,POSSESSION_PERCENTAGE,TOTAL_PASS,EVENT_TYPE_ID,EVENT_NAME,EVENT_PERIOD_MINUTE,HOME_TEAM,GAME_DATE
2135060399,919263,91,Bournemouth,2,0,48.6,401,49,Ball recovery,75,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,86,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,46,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,49,Ball recovery,7,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,51,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,7,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,31,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,34,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,4,Free kick,39,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,36,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,46,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,22,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,49,Ball recovery,22,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,61,Ball touch,22,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,47,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,61,Ball touch,67,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,10,Save,46,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,72,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,1,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,44,Aerial,88,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,3,Take On,13,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,12,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,45,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,7,Tackle,1,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,49,Ball recovery,1,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,49,Ball recovery,7,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,31,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,68,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,56,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,7,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,4,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,5,Out,5,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,6,Corner,49,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,33,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,27,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,84,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,52,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,16,Goal,38,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,31,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,4,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,82,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,62,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,20,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,75,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,81,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,48,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,10,Save,56,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,54,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,28,End delay,64,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,15,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,10,Save,46,90,2018-05-13T15:00:00Z
2135060399,919263,91,Bournemouth,2,0,48.6,401,1,Pass,20,90,2018-05-13T15:00:00Z
1234290668,919263,90,Burnley,1,1,51.4,416,1,Pass,37,90,2018-05-13T15:00:00Z
